Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948405,TOBACCO_MPOWER_R_TAX,COUNTRY,UKR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_SPECIFICEXCISE,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_DISPOSABLE_CHEAPEST,,,,,8.44,8.44,,,,2025-12-09T08:33:26Z,2024,2024-01-01,2024-12-31
2948436,TOBACCO_MPOWER_R_TAX,COUNTRY,BRB,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_ADVALEXCISE,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,,,,,. . .,,,,,2025-12-09T08:33:26Z,2024,2024-01-01,2024-12-31
2948667,TOBACCO_MPOWER_R_TAX,COUNTRY,NZL,WPR,Western Pacific,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_OTHERTAXES,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,0,0,,,,2025-12-09T08:33:26Z,2022,2022-01-01,2022-12-31
2949214,TOBACCO_MPOWER_R_TAX,COUNTRY,BGR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_VALUEADDED,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_SMOKELESS_MOSTSOLD,,,,,. . .,,,,,2025-12-09T08:33:26Z,2024,2024-01-01,2024-12-31
2949732,TOBACCO_MPOWER_R_TAX,COUNTRY,RUS,EUR,Europe,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_IMPORTDUTIES,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,15.25,15.25,,,,2025-12-09T08:33:26Z,2016,2016-01-01,2016-12-31
2949907,TOBACCO_MPOWER_R_TAX,COUNTRY,NZL,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_SPECIFICEXCISE,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_OTHERSMOKED_MOSTSOLD,,,,,80.67,80.67,,,,2025-12-09T08:33:26Z,2024,2024-01-01,2024-12-31
2950544,TOBACCO_MPOWER_R_TAX,COUNTRY,NRU,WPR,Western Pacific,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_VALUEADDED,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,50.51,50.51,,,,2025-12-09T08:33:26Z,2016,2016-01-01,2016-12-31
2950753,TOBACCO_MPOWER_R_TAX,COUNTRY,SRB,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_OTHERTAXES,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_OTHERSMOKED_MOSTSOLD,,,,,. . .,,,,,2025-12-09T08:33:26Z,2024,2024-01-01,2024-12-31
2951071,TOBACCO_MPOWER_R_TAX,COUNTRY,PHL,WPR,Western Pacific,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_VALUEADDED,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,0,0,,,,2025-12-09T08:33:26Z,2012,2012-01-01,2012-12-31
2951435,TOBACCO_MPOWER_R_TAX,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_EXCISEINCREASE,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,Yes,,,,,2025-12-09T08:33:26Z,2022,2022-01-01,2022-12-31
