Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948899,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,USA,AMR,Americas,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W4_pc_back_C,,,,,,,30,30,,,,2025-07-18T07:20:05Z,2010,2010-01-01,2010-12-31
2948940,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,SWZ,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W9_no_obscure_C,,,,,,,No,,,,,2025-07-05T14:51:06Z,2022,2022-01-01,2022-12-31
2949237,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,ESP,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W11_outside_pack_C,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2018,2018-01-01,2018-12-31
2950402,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,GEO,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W5_top_side_C,,,,,,,No,,,,,2025-07-05T14:51:06Z,2018,2018-01-01,2018-12-31
2951332,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,TGO,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W7_rotation_C,,,,,,,No,,,,,2025-07-05T14:51:06Z,2010,2010-01-01,2010-12-31
2951801,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,COK,WPR,Western Pacific,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W11_outside_pack_C,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2014,2014-01-01,2014-12-31
2952624,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,THA,SEAR,South-East Asia,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W9_no_obscure_C,,,,,,,—,,,,,2025-07-05T14:51:06Z,2020,2020-01-01,2020-12-31
2953394,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W1_HW_law_C,,,,,,,No,,,,,2025-07-05T14:51:06Z,2012,2012-01-01,2012-12-31
2953477,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,CUB,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W4_pc_back_C,,,,,,,Not specified,,,,,2025-07-05T14:51:06Z,2012,2012-01-01,2012-12-31
2953612,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W3_pc_front_C,,,,,,,—,,,,,2025-07-05T14:51:06Z,2007,2007-01-01,2007-12-31
2953673,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W7_rotation_C,,,,,,,No,,,,,2025-07-05T14:51:06Z,2024,2024-01-01,2024-12-31
2954964,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W11_outside_pack_C,,,,,,,—,,,,,2025-07-05T14:51:06Z,2008,2008-01-01,2008-12-31
2955008,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W1_HW_law_C,,,,,,,Sale of smokeless tobacco is banned in the country,,,,,2025-07-05T14:51:06Z,2024,2024-01-01,2024-12-31
2955293,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,HND,AMR,Americas,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W11_outside_pack_C,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2007,2007-01-01,2007-12-31
2955463,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,GBR,EUR,Europe,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W4_pc_back_C,,,,,,,Not specified,,,,,2025-07-05T14:51:06Z,2007,2007-01-01,2007-12-31
2956095,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,JAM,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W7_rotation_C,,,,,,,—,,,,,2025-07-05T14:51:06Z,2012,2012-01-01,2012-12-31
2956331,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,ECU,AMR,Americas,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W11_outside_pack_C,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2008,2008-01-01,2008-12-31
2956432,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,BLZ,AMR,Americas,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W7_rotation_C,,,,,,,—,,,,,2025-07-05T14:51:06Z,2016,2016-01-01,2016-12-31
2957174,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,COUNTRY,SGP,WPR,Western Pacific,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W9_no_obscure_C,,,,,,,—,,,,,2025-07-05T14:51:06Z,2018,2018-01-01,2018-12-31
